0,1000,103,100
1,1003,100,100
2,1003,80,100
3,1000,39,100
4,1001,88,100
5,1014,687,100
6,1016,126,100
7,1046,3676,100
8,1054,2964,100
9,1012,413,100
10,1024,1120,100
11,1048,2237,100
12,1027,2742,100
13,1046,1693,100
14,1037,4166,100
15,1045,2631,100
16,1014,2913,100
17,1043,1126,100
18,1032,2910,100
19,1024,4068,50
20,1045,1036,100
21,1017,775,100
22,1015,3405,100
23,1048,911,100
24,1039,4068,50
25,1036,442,100
26,1014,3895,100
27,1019,2142,100
28,1041,3300,100
29,1037,963,100
30,1037,3633,100
31,1024,481,100
32,1041,2457,100
33,1046,1705,100
34,1031,2749,100
35,1034,4468,100
36,1035,4249,100
37,1025,2311,100
38,1050,2318,100
39,1048,3511,100
40,1046,3738,100
41,1030,986,100
42,1040,282,100
43,1011,2365,100
44,1006,168,100
45,1027,3839,100
46,1015,1318,100
47,1038,3728,100
48,1025,808,100
49,1025,2224,100
50,1025,3142,100
51,1047,2935,100
52,1047,2785,100
53,1047,3747,100
54,1007,2522,100
55,1020,410,100
56,1018,2194,100
57,1030,1416,100
58,1054,140,100
59,1021,4091,100
60,1010,743,100
61,1040,3077,100
62,1013,2814,100
63,1041,2442,100
64,1048,3388,100
65,1014,1799,100
66,1008,3594,100
67,1010,4332,100
68,1014,3804,100
69,1016,3967,100
70,1011,3978,100
71,1022,1952,100
72,1023,923,100
73,1051,4127,100
74,1021,1870,100
75,1031,136,100
76,1015,4486,100
77,1028,2040,100
78,1050,324,100
79,1014,1847,100
80,1050,2004,100
81,1007,1082,100
82,1046,2971,100
83,1020,244,100
84,1051,3053,100
85,1035,1535,100
86,1013,3848,100
87,1015,4034,100
88,1044,208,100
89,1009,3195,100
90,1042,1618,100
91,1055,4145,100
92,1008,2011,100
93,1031,3500,100
94,1040,2529,100
95,1020,222,100
96,1053,2427,100
97,1015,451,100
98,1011,2538,100
99,1007,1132,100
100,1044,3947,100
101,1039,132,100
102,1044,1518,100
103,1010,2613,100
104,1011,4065,100
105,1029,2920,100
106,1011,4025,100
107,1033,3704,100
108,1043,3083,100
109,1013,660,100
110,1020,143,100
111,1028,1224,100
112,1011,4097,100
113,1031,766,100
114,1020,1048,100
115,1024,1109,100
116,1015,1915,100
117,1033,4148,100
118,1008,1717,100
119,1017,2962,100
120,1040,1066,100
121,1046,3104,100
122,1042,3587,100
123,1044,3932,100
124,1048,1164,100
125,1052,4164,100
126,1021,4438,100
127,1038,1722,100
128,1052,529,100
129,1010,918,100
130,1014,2344,100
131,1022,2159,100
132,1021,611,100
133,1040,2017,100
134,1032,1191,100
135,1011,1953,100
136,1008,2186,100
